scorer,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice,Brice
individuals,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,leftHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand,rightHand
bodyparts,thumbStart,thumbStart,thumbEnd,thumbEnd,indexStart,indexStart,indexEnd,indexEnd,middleStart,middleStart,middleEnd,middleEnd,ringStart,ringStart,ringEnd,ringEnd,littleStart,littleStart,littleEnd,littleEnd,thumbStart,thumbStart,thumbEnd,thumbEnd,indexStart,indexStart,indexEnd,indexEnd,middleStart,middleStart,middleEnd,middleEnd,ringStart,ringStart,ringEnd,ringEnd,littleStart,littleStart,littleEnd,littleEnd
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Pil06_cropped\img037c0.png,86.36795252225534,72.80061572700282,63.61424332344228,174.24423590504443,138.511869436202,123.99646142433221,133.771513353116,277.58399851632043,184.019287833828,136.321387240356,199.18842729970356,284.2204970326409,221.94213649851645,129.6848887240355,244.69584569732956,255.7783605341246,251.33234421365,107.87925074183966,289.25519287833845,192.25758902077143,,,,,,,,,,,,,,,,,,,,
labeled-data\Pil06_cropped\img037c1.png,195.36795252225534,68.80061572700282,172.61424332344228,170.24423590504443,247.511869436202,119.99646142433221,242.771513353116,273.58399851632043,293.019287833828,132.321387240356,308.18842729970356,280.2204970326409,330.94213649851645,125.68488872403549,353.69584569732956,251.7783605341246,360.33234421365,103.87925074183966,398.25519287833845,188.25758902077143,25.6632047477745,75.43711424332332,68.32640949554906,150.334740356083,,,,,,,,,,,,,,,,
labeled-data\Pil06_cropped\img037c2.png,,,,,,,,,,,,,,,,,,,,,312.6632047477745,103.43711424332332,355.32640949554906,178.334740356083,257.6750741839763,184.9712388724035,270.0,308.2204970326409,205.53115727002967,181.1789540059346,196.05044510385756,318.6492804154302,168.5563798219584,165.06174332344204,135.373887240356,285.4667878338278,137.27002967359044,138.51574925816016,78.48961424332333,208.67301928783377
labeled-data\Pil06_cropped\img037c3.png,97.36795252225534,72.80061572700282,74.61424332344228,174.24423590504443,149.511869436202,123.99646142433221,144.771513353116,277.58399851632043,195.019287833828,136.321387240356,210.18842729970356,284.2204970326409,232.94213649851645,129.6848887240355,255.69584569732956,255.7783605341246,262.33234421365,107.87925074183966,300.25519287833845,192.25758902077143,,,,,,,,,,,,,,,,,,,,
labeled-data\Pil06_cropped\img037c4.png,328.36795252225534,118.80061572700282,305.6142433234423,220.24423590504443,380.511869436202,169.9964614243322,375.771513353116,323.58399851632043,,,,,,,,,,,,,158.6632047477745,125.43711424332332,201.32640949554906,200.334740356083,103.67507418397628,206.9712388724035,116.0,330.2204970326409,51.53115727002967,203.1789540059346,42.050445103857555,340.6492804154302,14.556379821958387,187.06174332344204,,,,,,
labeled-data\Pil06_cropped\img037c5.png,378.36795252225534,59.80061572700282,355.6142433234423,161.24423590504443,,,,,,,,,,,,,,,,,208.6632047477745,66.43711424332332,251.32640949554906,141.334740356083,153.67507418397628,147.9712388724035,166.0,271.2204970326409,101.53115727002967,144.1789540059346,92.05044510385756,281.6492804154302,64.55637982195839,128.06174332344204,31.373887240355998,248.46678783382782,33.27002967359044,101.51574925816016,,
labeled-data\Pil06_cropped\img037c6.png,167.36795252225534,120.80061572700282,144.61424332344228,222.24423590504443,219.511869436202,171.9964614243322,214.771513353116,325.58399851632043,265.019287833828,184.321387240356,280.18842729970356,332.2204970326409,302.94213649851645,177.6848887240355,325.69584569732956,303.7783605341246,332.33234421365,155.87925074183966,370.25519287833845,240.25758902077143,,,40.32640949554906,202.334740356083,,,,,,,,,,,,,,,,
